FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
11100000	MILK, NFS	Milk_NFS	Milk, NFS	0	11100000.0
11111000	MILK, COWS, FLUID, WHOLE	Milk_cows_fluid_whole	Milk, cows, fluid, whole	0	11111000.0
11112110	MILK, COWS, FLUID, 2% FAT	Milk_cows_fluid_2_fat	Milk, cows, fluid, 2% fat	0	11112110.0
11112210	MILK, COWS, FLUID, 1% FAT	Milk_cows_fluid_1_fat	Milk, cows, fluid, 1% fat	0	11112210.0
11210050	MILK, EVAPORATED, NS AS TO FAT CONTENT	Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)	0	11210050.0
11320000	MILK, SOY, READY-TO-DRINK, NOT BABY	Milk_soy_ready_to_drink_not_babys	Milk, soy, ready-to-drink, not babys	0	11320000.0
11320200	MILK, SOY, NONFAT, READY-TO-DRINK, NOT BABYS	Milk_soy_nonfat_ready_to_drink_not_babys	Milk, soy, nonfat, ready-to-drink, not babys	0	11320200.0
11321000	MILK, SOY, READY-TO-DRINK, NOT BABYS, CHOCOLATE	Milk_soy_ready_to_drink_not_babys_chocolate	Milk, soy, ready-to-drink, not babys, chocolate	0	11321000.0
11411200	YOGURT, PLAIN, LOWFAT MILK	Yogurt_plain_lowfat_milk	Yogurt, plain, lowfat milk	0	11411200.0
11430000	YOGURT, FRUIT VARIETY, NS AS TO MILK TYPE	Yogurt_fruit_variety_NS_as_to_type_of_milk	Yogurt, fruit variety, NS as to type  of milk	0	11430000.0
11432000	YOGURT, FRUIT VARIETY, LOWFAT MILK	Yogurt_fruit_variety_lowfat_milk	Yogurt, fruit variety, lowfat milk	0	11432000.0
11460250	YOGURT,FROZEN,NOT CHOCOLATE,W/ SORBET/SORBET-COATED	Yogurt_frozen_flavors_other_than_chocolate_with_sorbet_or_sorbet_coated	Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated	0	11460250.0
11511100	MILK, CHOCOLATE, WHOLE MILK BASED	Milk_chocolate_whole_milk_based	Milk, chocolate, whole milk-based	0	11511100.0
11511300	MILK, CHOCOLATE, SKIM MILK BASED	Milk_chocolate_skim_milk_based	Milk, chocolate, skim milk-based	0	11511300.0
11513550	CHOCOLATE SYRUP, RED FAT MILK ADDED	Chocolate_syrup_reduced_fat_milk_added	Chocolate syrup, reduced fat milk added	0	11513550.0
11542200	CARRY-OUT MILK SHAKE, NOT CHOCOLATE	Carry_out_milk_shake_flavors_other_than_chocolate	Carry-out milk shake, flavors other than chocolate	0	11542200.0
